_id	Protocolo	data	hora	natureza	situacao	bairro	endereco	numero	detalhe_endereco_acidente	complemento	bairro_cruzamento	num_semaforo	sentido_via	tipo	auto	moto	ciclom	ciclista	pedestre	onibus	caminhao	viatura	outros	vitimas	vitimasfatais	acidente_verificado	tempo_clima	situacao_semaforo	sinalizacao	condicao_via	conservacao_via	ponto_controle	situacao_placa	velocidade_max_via	mao_direcao	divisao_via1	divisao_via2	divisao_via3
11	202300135,0	2023-01-03T00:00:00	08:06:00	SEM VÍTIMA	FINALIZADA	DERBY	RUA JENER DE SOUZA	""	""	LADO OPOSTO AO MEMORIAL DE MEDICINA	DERBY	""	""	CHOQUE	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
12	202300139,0	2023-01-03T00:00:00	08:55:00	COM VÍTIMA	FINALIZADA	AFOGADOS	RUA SAO MIGUEL	494	""	APOS O BANCO DO BRASIL, AO LADO DOS CORREIOS	AFOGADOS	""	SUBURBIO	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
13	202300141,0	2023-01-03T00:00:00	09:29:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	RUA SETUBAL	482	RUA VERDES MARES	PROX. AO PET DREAM RESORT	BOA VIAGEM	""	""	COLISÃO FRONTAL	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
14	202300160,0	2023-01-03T00:00:00	01:36:00	COM VÍTIMA	FINALIZADA	IPSEP	AV RECIFE	2734	RUA SAO NICOLAU	""	IPSEP	16,0	SUBURBIO	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
15	202300162,0	2023-01-03T00:00:00	02:16:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV CONSELHEIRO AGUIAR	2696	RUA PROFESSOR JOSE BRANDAO	NA FRENTE DA EXTRA FARMA	BOA VIAGEM	549,0	CIDADE	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
16	202300167,0	2023-01-03T00:00:00	04:10:00	SEM VÍTIMA	FINALIZADA	""	AV BRASILIA FORMOSA	""	RUA SERRA	""	""	""	SUBURBIO	COLISÃO TRANSVERSAL	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
17	202300172,0	2023-01-03T00:00:00	05:39:00	COM VÍTIMA	FINALIZADA	ESTÂNCIA	AV RECIFE	""	AV ESTANCIA	PROX AO ARMAZÉM CORAL  S/T BR	ESTÂNCIA	""	SUBURBIO	COLISÃO COM CICLISTA	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
18	202300176,0	2023-01-03T00:00:00	07:29:00	SEM VÍTIMA	FINALIZADA	IMBIRIBEIRA	AV MARECHAL MASCARENHAS DE MORAES	""	""	EM FRENTE AO AEROPORTO	IMBIRIBEIRA	""	CIDADE	COLISÃO FRONTAL	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
19	202300181,0	2023-01-03T00:00:00	10:20:00	COM VÍTIMA	FINALIZADA	SÃO JOSÉ	RUA IMPERIAL	""	RUA BOM SUCESSO	""	SÃO JOSÉ	""	""	COLISÃO FRONTAL	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
20	202300182,0	2023-01-03T00:00:00	11:01:00	SEM VÍTIMA	FINALIZADA	IBURA	AV SANTA FE	130	""	POSTO DE SAUDE DO UR2	IBURA	""	""	COLISÃO TRANSVERSAL	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
21	202300190,0	2023-01-04T00:00:00	06:12:00	SEM VÍTIMA	CANCELADA	TEJIPIÓ	AV DR JOSE RUFINO	3340	""	PROX. AO ARMAZEM CORAL	TEJIPIÓ	""	""	COLISÃO TRASEIRA	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
22	202300204,0	2023-01-04T00:00:00	08:00:00	COM VÍTIMA	FINALIZADA	ESTÂNCIA	AV RECIFE	""	RUA LAURA BANDEIRA DE MELLO	""	ESTÂNCIA	705,0	""	COLISÃO FRONTAL	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
23	202300210,0	2023-01-04T00:00:00	08:54:00	COM VÍTIMA	FINALIZADA	VÁRZEA	AV CAXANGA	""	RUA RODRIGUES FERREIRA	PROX. AO RESIDENCIAL JARDIM CAXANGA	VÁRZEA	232,0	CIDADE	COLISÃO TRASEIRA	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
24	202300216,0	2023-01-04T00:00:00	09:46:00	COM VÍTIMA	FINALIZADA	TORRE	RUA MARQUES DE MARICA	1246	""	PRÓX. À PRAÇA PROFESSOR CAMPELO	TORRE	""	SUBURBIO	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
25	202300239,0	2023-01-04T00:00:00	01:54:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AVENIDA CELSO FURTADO (VIA MANGUE)	""	""	AÇAI ATACADISTA	BOA VIAGEM	""	""	QUEDA	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
26	202300241,0	2023-01-04T00:00:00	02:13:00	COM VÍTIMA	FINALIZADA	JOANA BEZERRA	VIADUTO CAPITAO TEMUDO	""	""	NO VIADUTO MESMO	JOANA BEZERRA	""	""	COLISÃO TRASEIRA	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
27	202300275,0	2023-01-05T00:00:00	06:55:00	COM VÍTIMA	FINALIZADA	SANTO AMARO	AV JOAO DE BARROS	""	AV GOVERNADOR AGAMENON MAGALHAES	AO LADO DO NÚMERO 2778	SANTO AMARO	406,0	SUBURBIO	COLISÃO TRASEIRA	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
28	202300286,0	2023-01-05T00:00:00	07:44:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AVENIDA CELSO FURTADO (VIA MANGUE)	""	""	PROX A PRIMEIRA LOMBADA ELETRONICA SENTIDO CIDADE	BOA VIAGEM	""	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
29	202300312,0	2023-01-05T00:00:00	01:11:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	AV CONSELHEIRO AGUIAR	2004	RUA PROFESSOR OSIAS RIBEIRO	PROX A PADARIA AUGUSTA	BOA VIAGEM	""	""	COLISÃO LATERAL	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
30	202300320,0	2023-01-05T00:00:00	04:15:00	COM VÍTIMA	FINALIZADA	IBURA	RUA DR OTAVIO DE MORAES VASCONCELOS	""	RUA VALE DO CARIRI	NA FRENTE DA PADARIA ALIANÇA	IBURA	""	""	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
31	202300321,0	2023-01-05T00:00:00	04:26:00	COM VÍTIMA	FINALIZADA	TORRÕES	AV ENGENHEIRO ABDIAS DE CARVALHO	3974	""	E/F A MICHEL ELETRICA  S/T BR	TORRÕES	""	SUBURBIO	COLISÃO COM CICLISTA	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
32	202300322,0	2023-01-05T00:00:00	12:00:00	COM VÍTIMA	DUPLICIDADE	MANGUEIRA	RUA SAO MIGUEL	1745	RUA OLEGARIO MARIANO	""	MANGUEIRA	""	CIDADE	COLISÃO TRANSVERSAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
33	202300323,0	2023-01-05T00:00:00	05:13:00	COM VÍTIMA	FINALIZADA	MANGUEIRA	RUA SAO MIGUEL	1745	RUA OLEGARIO MARIANO	EM FRENTE AO ATACAREJO SHOPPING	MANGUEIRA	425,0	CIDADE	COLISÃO TRANSVERSAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
34	202300352,0	2023-01-06T00:00:00	07:32:00	COM VÍTIMA	FINALIZADA	GRAÇAS	AV RUI BARBOSA	""	RUA ALBERTO PAIVA	AO LADO DA CHEVROLET	GRAÇAS	305,0	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
35	202300356,0	2023-01-06T00:00:00	08:57:00	VÍTIMA FATAL	FINALIZADA	CORDEIRO	AV GENERAL SAN MARTIN	458	""	AO LADO DO HOSPITAL GETULIO VARGAS	CORDEIRO	""	SUBURBIO	ATROPELAMENTO DE PESSOA	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	""	""	""	""	""	""	""	""	""	""	""	""	""
36	202300361,0	2023-01-06T00:00:00	10:22:00	COM VÍTIMA	FINALIZADA	SANCHO	AV LIBERDADE	""	AV TEMPO FELIZ	EM FRENTE AO CEMITÉRIO PARQUE DAS FLORES	SANCHO	""	CIDADE	ATROPELAMENTO DE PESSOA	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
37	202300366,0	2023-01-06T00:00:00	11:20:00	COM VÍTIMA	FINALIZADA	CASA AMARELA	RUA DA HARMONIA	804	RUA REDENTOR	PRÓX. À CASA DE FESTAS PLANETA A	CASA AMARELA	""	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
38	202300367,0	2023-01-06T00:00:00	11:34:00	COM VÍTIMA	FINALIZADA	IMBIRIBEIRA	RUA ITACARI	286	RUA ITAMARACA	PROX. RC COMPONENTES	IMBIRIBEIRA	""	SUBURBIO	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
39	202300376,0	2023-01-06T00:00:00	12:53:00	SEM VÍTIMA	FINALIZADA	IPSEP	RUA ABDIAS CABRAL DE MOURA	426	RUA SAO NICOLAU	EM FRENTE A LOJA DE VEÍCULOS SPORTCAR	IPSEP	""	""	COLISÃO TRANSVERSAL	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
40	202300378,0	2023-01-06T00:00:00	01:49:00	COM VÍTIMA	FINALIZADA	BOA VIAGEM	RUA VISCONDE DE JEQUITINHONHA	4650	""	RESTAURANTE PONTEIO	BOA VIAGEM	""	SUBURBIO	COLISÃO COM CICLISTA	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
41	202300388,0	2023-01-06T00:00:00	04:16:00	COM VÍTIMA	FINALIZADA	ENCRUZILHADA	RUA DONA ELVIRA	115	RUA DA CORAGEM	NA RUA DA QUITANDARIA  PROX A IGREJA DA ESTRADA DE BELEM	ENCRUZILHADA	""	""	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
42	202300395,0	2023-01-06T00:00:00	05:16:00	COM VÍTIMA	FINALIZADA	SANTO AMARO	AV CRUZ CABUGA	""	""	E/F AO TACARUNA   NA PARADA DE ONIBUS  S/T OLINDA	SANTO AMARO	""	SUBURBIO	ATROPELAMENTO DE PESSOA	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
43	202300412,0	2023-01-06T00:00:00	10:11:00	COM VÍTIMA	CANCELADA	VÁRZEA	RUA AGRICOLANDIA	36	""	PROX. AO HOSPITAL HAPIVIDA	VÁRZEA	""	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
44	202300417,0	2023-01-06T00:00:00	11:17:00	SEM VÍTIMA	FINALIZADA	BOA VIAGEM	AV DES JOSE NEVES	8385	""	DB DIAGNÓSTICO	BOA VIAGEM	""	SUBURBIO	CHOQUE	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
45	202300424,0	2023-01-07T00:00:00	06:12:00	COM VÍTIMA	FINALIZADA	DERBY	AV GOVERNADOR AGAMENON MAGALHAES	""	""	EM FRENTE AO TRIBUNAL REGIONAL, SENT. BOA VIAGEM	DERBY	37,0	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
46	202300430,0	2023-01-07T00:00:00	08:17:00	SEM VÍTIMA	FINALIZADA	COHAB	RUA DR BENIGNO JORDAO DE VASCONCELOS	85	""	APÓS A SEMENTEIRA DO JACARE	COHAB	""	SUBURBIO	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
47	202300464,0	2023-01-07T00:00:00	04:57:00	COM VÍTIMA	FINALIZADA	ILHA DO RETIRO	AV BEIRA RIO	""	RUA JOAQUIM NABUCO	PROX A LOJA DE PNEUS DUN LOPES	ILHA DO RETIRO	387,0	SUBURBIO	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
48	202300470,0	2023-01-07T00:00:00	06:16:00	SEM VÍTIMA	FINALIZADA	CAXANGÁ	AV CAXANGA	""	""	NO MEIO DO VIADUTO	CAXANGÁ	""	""	COLISÃO FRONTAL	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
49	202300476,0	2023-01-07T00:00:00	11:09:00	SEM VÍTIMA	FINALIZADA	IBURA	AV DOM HELDER CAMARA	298	""	""	IBURA	""	""	COLISÃO TRASEIRA	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
50	202300505,0	2023-01-08T00:00:00	11:25:00	COM VÍTIMA	FINALIZADA	IPUTINGA	RUA ADEMAR PIRES TRAVASSO	435	""	PROX AO COLEGIO SEDEC	IPUTINGA	""	""	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
51	202300510,0	2023-01-08T00:00:00	01:13:00	COM VÍTIMA	FINALIZADA	PINA	AV ANTONIO DE GOES	820	""	DE FRENTE A PRF	PINA	""	CIDADE	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
52	202300533,0	2023-01-08T00:00:00	07:31:00	COM VÍTIMA	FINALIZADA	CASA AMARELA	AV NORTE MIGUEL ARRAES DE ALENCAR	""	EST MORRO DA CONCEICAO	DESCIDA DO MORRO DA CONCEIÇÃO	CASA AMARELA	312,0	SUBURBIO	COLISÃO TRANSVERSAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
53	202300542,0	2023-01-09T00:00:00	07:55:00	COM VÍTIMA	FINALIZADA	SANTO AMARO	AV NORTE MIGUEL ARRAES DE ALENCAR	S/N	""	SOBRE O VIADUTO, EM FRENTE A JEEP / SENTIDO BOA VIAGEM	SANTO AMARO	""	""	COLISÃO TRASEIRA	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
54	202300547,0	2023-01-09T00:00:00	08:54:00	COM VÍTIMA	FINALIZADA	MANGABEIRA	AV NORTE MIGUEL ARRAES DE ALENCAR	4250	""	EM FRENTE A PIZZARIA IMPÉRIO	MANGABEIRA	""	""	COLISÃO TRASEIRA	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
55	202300551,0	2023-01-09T00:00:00	09:41:00	SEM VÍTIMA	FINALIZADA	ÁGUA FRIA	RUA DR EUDES COSTA	240	RUA BELO JARDIM	EM FRENTE LU REFEIÇÕES	ÁGUA FRIA	""	""	""	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
56	202300561,0	2023-01-09T00:00:00	12:18:00	COM VÍTIMA	FINALIZADA	CASA AMARELA	AV DR EURICO CHAVES	476	""	PROX AO BREGOSO BUGUER	CASA AMARELA	""	""	COLISÃO FRONTAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
57	202300564,0	2023-01-09T00:00:00	01:13:00	COM VÍTIMA	FINALIZADA	IMBIRIBEIRA	RUA GENERAL GOES MONTEIRO	135	""	POR TRÁS DO GRAU TÉCNICO	IMBIRIBEIRA	""	""	COLISÃO TRASEIRA	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
58	202300572,0	2023-01-09T00:00:00	03:22:00	SEM VÍTIMA	FINALIZADA	IBURA	RUA PINTOR LULA CARDOSO AYRES	3130	""	RECIFE FERRAGENS	IBURA	""	SUBURBIO	COLISÃO TRASEIRA	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
59	202300576,0	2023-01-09T00:00:00	03:47:00	SEM VÍTIMA	FINALIZADA	SAN MARTIN	RUA JOSE VELOSO	225	RUA APULCRO DE ASSUNCAO	PRÓXIMO A PRAÇA DA CAVALARIA	SAN MARTIN	""	CIDADE	COLISÃO TRANSVERSAL	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
60	202300591,0	2023-01-09T00:00:00	06:41:00	COM VÍTIMA	FINALIZADA	MADALENA	AV VISCONDE DE ALBUQUERQUE	300	""	ASTRAL MULTI MARCAS	MADALENA	""	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
61	202300615,0	2023-01-10T00:00:00	08:08:00	COM VÍTIMA	FINALIZADA	GRAÇAS	RUA PROFESSOR RUI BATISTA	1599	""	TRIBUNAL REGIONAL ELEITORAL DE PERNAMBUCO	GRAÇAS	37,0	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
62	202300623,0	2023-01-10T00:00:00	10:32:00	COM VÍTIMA	FINALIZADA	BOA VISTA	RUA GERVASIO PIRES	245	""	EM FRENTE AO MERCADINHO NOSSA SENHORA DO CARMO	BOA VISTA	""	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
63	202300637,0	2023-01-10T00:00:00	01:25:00	COM VÍTIMA	FINALIZADA	PAISSANDU	AV GOVERNADOR AGAMENON MAGALHAES	""	""	LADO OPOSTO AO REAL HOSPITAL PORTUGUÊS	PAISSANDU	""	""	ATROPELAMENTO DE PESSOA	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
64	202300638,0	2023-01-10T00:00:00	01:30:00	COM VÍTIMA	FINALIZADA	PAISSANDU	RUA PAISSANDU	""	AV GOVERNADOR AGAMENON MAGALHAES	BANCO SAFRA	PAISSANDU	""	""	COLISÃO TRASEIRA	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
65	202300666,0	2023-01-11T00:00:00	06:37:00	SEM VÍTIMA	FINALIZADA	TEJIPIÓ	AV DR JOSE RUFINO	""	""	AO LADO DA TONY ALBUQUERQUE DELICATESEN	TEJIPIÓ	""	""	CHOQUE	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
66	202300677,0	2023-01-11T00:00:00	10:14:00	COM VÍTIMA	FINALIZADA	JORDÃO	AV MARECHAL MASCARENHAS DE MORAES	""	""	PROX AO AEROPORTO	JORDÃO	625,0	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
67	202300680,0	2023-01-11T00:00:00	11:11:00	COM VÍTIMA	FINALIZADA	SANTO AMARO	AV CRUZ CABUGA	""	AV DR JAYME DA FONTE	PROX. AO HOSPITAL DA MARINHA	SANTO AMARO	""	""	COLISÃO LATERAL	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	""	""	""	""	""	""	""	""	""	""	""	""	""
